!Q^2    Rp   dR_stat dR_syst idat
0.49   0.979  0.016  0.006   1	 V. Punjabi, et al., PRC 71 (2005) 055202
0.79   0.951  0.012  0.010   1	 [Same data as M. K. Jones 2000 PRL]
1.18   0.883  0.013  0.018   1
1.48   0.798  0.029  0.026   1
1.77   0.789  0.024  0.035   1
1.88   0.777  0.024  0.033   1
2.13   0.747  0.032  0.034   1
2.47   0.703  0.023  0.033   1
2.97   0.615  0.029  0.021   1
3.47   0.606  0.042  0.014   1
0.32   0.930  0.067  0.007   2	 O. Gayou, et al., PRC 64 (2001) 038202
0.35   0.910  0.061  0.004   2
0.39   0.961  0.033  0.005   2
0.46   0.952  0.034  0.006   2
0.57   0.959  0.039  0.007   2
0.76   0.966  0.033  0.012   2
0.86   0.865  0.029  0.015   2
0.88   0.923  0.086  0.013   2
1.02   0.900  0.038  0.022   2
1.12   0.825  0.027  0.020   2
1.18   0.851  0.050  0.023   2
1.42   0.733  0.058  0.029   2
1.76   0.816  0.115  0.069   2
3.50   0.571  0.072  0.007   3	 A.Puckett, et al., PRC 85 (2012) 045203
3.98   0.517  0.055  0.009   3	 [Same data as O. Gayou 2002 PRL]
4.76   0.450  0.052  0.012   3
5.56   0.354  0.085  0.019   3
0.515  0.966  0.031  0.012   4	 S. Strauch, et al., PRL 91 (2003) 052301
1.020  0.878  0.021  0.008   4	 [Ge/Gm values from private communication, S. Strauch]
1.625  0.765  0.019  0.017   4
0.38   0.95   0.05   0.02    5	 B. Milbrath, et al., PRL 80 (1998) 452
0.50   1.02   0.05   0.02    5	 [Values taken from Erratum - 1999]
0.373  0.999  0.028  0.046   6	 T. Pospischil, et al., EPJA 12 (2001) 125
0.401  1.011  0.029  0.044   6
0.441  0.936  0.033  0.039   6
0.162  1.019  0.013  0.015   7	 C. Crawford, et al., PRL 98 (2007) 052301
0.191  1.006  0.012  0.014   7
0.232  0.999  0.012  0.012   7
0.282  0.973  0.012  0.011   7
0.345  0.973  0.014  0.010   7
0.419  0.980  0.016  0.009   7
0.500  0.993  0.019  0.008   7
0.591  0.961  0.025  0.007   7
0.215  0.8250 0.0483 0.0162  8	 G. Ron, et al., PRC 84 (2011) 055204
0.235  0.9433 0.0414 0.0144  8	 [Same data as G. Ron 2007 PRL]
0.251  0.9882 0.0420 0.0132  8
0.265  0.9833 0.0349 0.0124  8
0.308  0.9320 0.0123 0.0119  8
0.346  0.9318 0.0098 0.0108  8
0.400  0.9172 0.0109 0.0105  8
0.474  0.9225 0.0160 0.0127  8
1.510  0.884  0.027  0.029   9	 M. Jones, et al., PRC 74 (2006) 035201
1.130  0.878  0.064  0.012   10	 G. MacLachlan, et al., NPA 764 (2006) 261
0.298  0.9272 0.0114 0.0071  11	 X. Zhan, et al., PLB 705 (2011) 59
0.346  0.9433 0.0088 0.0093  11
0.402  0.9318 0.0066 0.0076  11
0.449  0.9314 0.0060 0.0073  11
0.494  0.9286 0.0054 0.0076  11
0.547  0.9274 0.0055 0.0071  11
0.599  0.9084 0.0053 0.0104  11
0.695  0.9122 0.0045 0.0107  11
0.80   0.901  0.007  0.010   12 M. Paolone, et al., PRL 105 (2010) 072001
1.30   0.897  0.008  0.019   12
5.17   0.448  0.060  0.006   13 A. Puckett, et al., arXv:1707.08587, PRC
6.70   0.348  0.105  0.010   13 [reanalysis of GEp III]
8.49   0.145  0.175  0.024   13
2.491  0.6953 0.0091 0.0079  14 A. Pucket, et al., arXv:1707.08587, PRC
2.477  0.6809 0.0070 0.0040  14 [reanalysis of GEp 2-gamma]
2.449  0.6915 0.0059 0.0039  14
